iana_id,name,domain_count,rdap_url,gateway_provider,rdap_service,category,duplicate,website,whois_server,status
1098,"Domain Mantra, LLC",46.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1115,"Visual Monster, LLC",46.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1093,"Cool Ocean, LLC",45.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1125,"Name Perfections, LLC",45.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1099,"Domain Band, LLC",44.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1096,"Find Good Domains, LLC",42.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1128,"Power Namers, LLC",41.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1108,"Ultra Registrar, LLC",40.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
937,"Blue Fractal, LLC",39.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1100,"Net Juggler, LLC",37.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1109,"Trade Starter, LLC",37.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1663,"Hotdomaintrade.com, LLC",30.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1102,"Network Savior, LLC",29.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
959,"Tropic Management Systems, Inc.",29.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1147,"Super Name World, LLC",16.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1332,Experinom Inc.,9.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
