iana_id,name,domain_count,rdap_url,gateway_provider,category,ipv4,ipv6,asn_v4_description
2883,Slow Putt Domains LLC,2349.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
2178,DropCatch.com 698 LLC,2348.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3407,DropCatch.com 1198 LLC,2348.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3694,DropCatch.com 1485 LLC,2348.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3600,DropCatch.com 1391 LLC,2348.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3354,DropCatch.com 1145 LLC,2348.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1272,"SNAPNAMES 31, LLC",2346.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
3319,DropCatch.com 1110 LLC,2346.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3622,DropCatch.com 1413 LLC,2346.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3739,DropCatch.com 1530 LLC,2346.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3701,DropCatch.com 1492 LLC,2345.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3730,DropCatch.com 1521 LLC,2345.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3408,DropCatch.com 1199 LLC,2344.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3617,DropCatch.com 1408 LLC,2344.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3344,DropCatch.com 1135 LLC,2343.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1048,"SNAPNAMES 19, LLC",2343.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
3627,DropCatch.com 1418 LLC,2343.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3693,DropCatch.com 1484 LLC,2342.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3311,DropCatch.com 1102 LLC,2341.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3384,DropCatch.com 1175 LLC,2341.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3475,DropCatch.com 1266 LLC,2341.0,rdap.namebright.com,NameBright,DROPCATCH,,,
2610,DropCatch.com 851 LLC,2341.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3317,DropCatch.com 1108 LLC,2339.0,rdap.namebright.com,NameBright,DROPCATCH,,,
2737,DropCatch.com 978 LLC,2339.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3494,DropCatch.com 1285 LLC,2338.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3310,DropCatch.com 1101 LLC,2338.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3632,DropCatch.com 1423 LLC,2338.0,rdap.namebright.com,NameBright,DROPCATCH,,,
2723,DropCatch.com 964 LLC,2338.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3486,DropCatch.com 1277 LLC,2337.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3705,DropCatch.com 1496 LLC,2337.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1066,"SNAPNAMES 90, LLC",2337.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
3301,DropCatch.com 1092 LLC,2337.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3539,DropCatch.com 1330 LLC,2336.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3350,DropCatch.com 1141 LLC,2336.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3504,DropCatch.com 1295 LLC,2336.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1231,Protondomains.com LLC,2336.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
3414,DropCatch.com 1205 LLC,2334.0,rdap.namebright.com,NameBright,DROPCATCH,,,
2050,DropCatch.com 570 LLC,2334.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3749,DropCatch.com 1540 LLC,2332.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3708,DropCatch.com 1499 LLC,2332.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3731,DropCatch.com 1522 LLC,2332.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3585,DropCatch.com 1376 LLC,2331.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3476,DropCatch.com 1267 LLC,2331.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1265,"SNAPNAMES 23, LLC",2331.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
3526,DropCatch.com 1317 LLC,2330.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3586,DropCatch.com 1377 LLC,2330.0,rdap.namebright.com,NameBright,DROPCATCH,,,
2547,DropCatch.com 788 LLC,2329.0,rdap.namebright.com,NameBright,DROPCATCH,,,
2783,DropCatch.com 1024 LLC,2328.0,rdap.namebright.com,NameBright,DROPCATCH,,,
2775,DropCatch.com 1016 LLC,2327.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3727,DropCatch.com 1518 LLC,2326.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3746,DropCatch.com 1537 LLC,2326.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1285,"SNAPNAMES 55, LLC",2325.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
3536,DropCatch.com 1327 LLC,2325.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3640,DropCatch.com 1431 LLC,2325.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3743,DropCatch.com 1534 LLC,2325.0,rdap.namebright.com,NameBright,DROPCATCH,,,
2631,DropCatch.com 872 LLC,2325.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3698,DropCatch.com 1489 LLC,2324.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3387,DropCatch.com 1178 LLC,2324.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3525,DropCatch.com 1316 LLC,2323.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3676,DropCatch.com 1467 LLC,2323.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3500,DropCatch.com 1291 LLC,2323.0,rdap.namebright.com,NameBright,DROPCATCH,,,
2788,DropCatch.com 1029 LLC,2323.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1171,Deschutesdomains.com LLC,2323.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
3441,DropCatch.com 1232 LLC,2322.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3636,DropCatch.com 1427 LLC,2322.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3459,DropCatch.com 1250 LLC,2322.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3610,DropCatch.com 1401 LLC,2322.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3312,DropCatch.com 1103 LLC,2322.0,rdap.namebright.com,NameBright,DROPCATCH,,,
708,"SNAPNAMES 1, LLC",2322.0,rdap.networksolutions.com,Network Solutions,DROPCATCH,,,
3752,DropCatch.com 1543 LLC,2320.0,rdap.namebright.com,NameBright,DROPCATCH,,,
2578,DropCatch.com 819 LLC,2320.0,rdap.namebright.com,NameBright,DROPCATCH,,,
2613,DropCatch.com 854 LLC,2320.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3465,DropCatch.com 1256 LLC,2318.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3425,DropCatch.com 1216 LLC,2317.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3579,DropCatch.com 1370 LLC,2317.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3711,DropCatch.com 1502 LLC,2317.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3713,DropCatch.com 1504 LLC,2317.0,rdap.namebright.com,NameBright,DROPCATCH,,,
2792,DropCatch.com 1033 LLC,2316.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3347,DropCatch.com 1138 LLC,2315.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3688,DropCatch.com 1479 LLC,2315.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3449,DropCatch.com 1240 LLC,2314.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3390,DropCatch.com 1181 LLC,2314.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3703,DropCatch.com 1494 LLC,2313.0,rdap.namebright.com,NameBright,DROPCATCH,,,
2785,DropCatch.com 1026 LLC,2312.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3443,DropCatch.com 1234 LLC,2312.0,rdap.namebright.com,NameBright,DROPCATCH,,,
2611,DropCatch.com 852 LLC,2312.0,rdap.namebright.com,NameBright,DROPCATCH,,,
2612,DropCatch.com 853 LLC,2310.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3518,DropCatch.com 1309 LLC,2309.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3597,DropCatch.com 1388 LLC,2309.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3702,DropCatch.com 1493 LLC,2309.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3399,DropCatch.com 1190 LLC,2307.0,rdap.namebright.com,NameBright,DROPCATCH,,,
